num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2023S040280;04/01/2024;14:09:00;AVDA. NICETO ALCALA ZAMORA / AUTOV. M-11;3;16;HORTALEZA;Colisión fronto-lateral;Lluvia débil;Motocicleta > 125cc;Conductor;De 55 a 59 años;Hombre;2;Ingreso inferior o igual a 24 horas;444.913.056;4.481.427.179;N;NULL
2023S040280;04/01/2024;14:09:00;AVDA. NICETO ALCALA ZAMORA / AUTOV. M-11;3;16;HORTALEZA;Colisión fronto-lateral;Lluvia débil;Turismo;Conductor;De 55 a 59 años;Mujer;14;Sin asistencia sanitaria;444.913.056;4.481.427.179;N;NULL
2024S000001;01/01/2024;1:20:00;AUTOV. M-30, 08NL00;08NL00;3;RETIRO;Colisión múltiple;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;443.926.583;4.473.998.426;N;NULL
2024S000001;01/01/2024;1:20:00;AUTOV. M-30, 08NL00;08NL00;3;RETIRO;Colisión múltiple;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;443.926.583;4.473.998.426;N;NULL
2024S000001;01/01/2024;1:20:00;AUTOV. M-30, 08NL00;08NL00;3;RETIRO;Colisión múltiple;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;443.926.583;4.473.998.426;N;NULL
2024S000001;01/01/2024;1:20:00;AUTOV. M-30, 08NL00;08NL00;3;RETIRO;Colisión múltiple;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;443.926.583;4.473.998.426;N;NULL
2024S000001;01/01/2024;1:20:00;AUTOV. M-30, 08NL00;08NL00;3;RETIRO;Colisión múltiple;Despejado;Turismo;Pasajero;De 18 a 20 años;Mujer;1;Atención en urgencias sin posterior ingreso;443.926.583;4.473.998.426;N;NULL
2024S000001;01/01/2024;1:20:00;AUTOV. M-30, 08NL00;08NL00;3;RETIRO;Colisión múltiple;Despejado;Turismo;Pasajero;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;443.926.583;4.473.998.426;N;NULL
2024S000001;01/01/2024;1:20:00;AUTOV. M-30, 08NL00;08NL00;3;RETIRO;Colisión múltiple;Despejado;Turismo;Pasajero;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;443.926.583;4.473.998.426;N;NULL
2024S000001;01/01/2024;1:20:00;AUTOV. M-30, 08NL00;08NL00;3;RETIRO;Colisión múltiple;Despejado;Turismo;Pasajero;De 30 a 34 años;Mujer;14;Sin asistencia sanitaria;443.926.583;4.473.998.426;N;NULL
2024S000001;01/01/2024;1:20:00;AUTOV. M-30, 08NL00;08NL00;3;RETIRO;Colisión múltiple;Despejado;Turismo;Pasajero;De 55 a 59 años;Mujer;14;Sin asistencia sanitaria;443.926.583;4.473.998.426;N;NULL
2024S000002;01/01/2024;2:45:00;CALL. PUERTO ALTO, 48;48;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;NULL;NULL;443.248.639;4.471.571.066;S;NULL
2024S000002;01/01/2024;2:45:00;CALL. PUERTO ALTO, 48;48;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;443.248.639;4.471.571.066;N;NULL
2024S000002;01/01/2024;2:45:00;CALL. PUERTO ALTO, 48;48;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;443.248.639;4.471.571.066;N;NULL
2024S000002;01/01/2024;2:45:00;CALL. PUERTO ALTO, 48;48;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;443.248.639;4.471.571.066;N;NULL
2024S000002;01/01/2024;2:45:00;CALL. PUERTO ALTO, 48;48;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 40 a 44 años;Mujer;14;Sin asistencia sanitaria;443.248.639;4.471.571.066;N;NULL
2024S000004;01/01/2024;2:00:00;AVDA. DOCTOR GARCIA TAPIA, 64;64;14;MORATALAZ;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 18 a 20 años;Mujer;NULL;NULL;444.512.986;4.473.729.076;N;NULL
2024S000004;01/01/2024;2:00:00;AVDA. DOCTOR GARCIA TAPIA, 64;64;14;MORATALAZ;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 40 a 44 años;Mujer;NULL;NULL;444.512.986;4.473.729.076;N;NULL
2024S000005;01/01/2024;2:45:00;AVDA. POBLADOS, 80;80;11;CARABANCHEL;Colisión frontal;Despejado;Turismo;Conductor;De 50 a 54 años;Mujer;14;Sin asistencia sanitaria;436.808.870;4.469.483.778;S;NULL
2024S000005;01/01/2024;2:45:00;AVDA. POBLADOS, 80;80;11;CARABANCHEL;Colisión frontal;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;436.808.870;4.469.483.778;N;NULL
2024S000005;01/01/2024;2:45:00;AVDA. POBLADOS, 80;80;11;CARABANCHEL;Colisión frontal;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;436.808.870;4.469.483.778;N;NULL
2024S000010;01/01/2024;7:20:00;CALL. LUNA / CALL. CORREDERA BAJA DE SAN PABLO;1;1;CENTRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 40 a 44 años;Mujer;14;Sin asistencia sanitaria;440.192.679;4.474.773.260;N;NULL
2024S000010;01/01/2024;7:20:00;CALL. LUNA / CALL. CORREDERA BAJA DE SAN PABLO;1;1;CENTRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;440.192.679;4.474.773.260;N;NULL
2024S000012;01/01/2024;8:05:00;CALL. MARIA ODIAGA, 20;20;11;CARABANCHEL;Colisión lateral;NULL;Turismo;Conductor;De 25 a 29 años;Hombre;NULL;NULL;437.001.874;4.470.045.546;N;NULL
2024S000012;01/01/2024;8:05:00;CALL. MARIA ODIAGA, 20;20;11;CARABANCHEL;Colisión lateral;NULL;Turismo;Conductor;De 30 a 34 años;Mujer;NULL;NULL;437.001.874;4.470.045.546;N;NULL
2024S000013;01/01/2024;7:35:00;CALL. CONDE DE PEÑALVER / CALL. PADILLA;64;4;SALAMANCA;Atropello a persona;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;442.700.310;4.475.969.738;N;NULL
2024S000013;01/01/2024;7:35:00;CALL. CONDE DE PEÑALVER / CALL. PADILLA;64;4;SALAMANCA;Atropello a persona;Despejado;Turismo;Peatón;De 18 a 20 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442.700.310;4.475.969.738;N;NULL
2024S000015;01/01/2024;7:35:00;PASEO. CASTELLANA, 33;33;7;CHAMBERÍ;Otro;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;441.548.551;4.475.930.630;N;NULL
2024S000015;01/01/2024;7:35:00;PASEO. CASTELLANA, 33;33;7;CHAMBERÍ;Otro;Despejado;VMU eléctrico;Conductor;De 18 a 20 años;Hombre;14;Sin asistencia sanitaria;441.548.551;4.475.930.630;S;NULL
2024S000018;01/01/2024;7:40:00;CALL. SANCHEZ PRECIADO, 41;41;9;MONCLOA-ARAVACA;Colisión múltiple;Nublado;Furgoneta;Conductor;Desconocido;Desconocido;NULL;NULL;439.703.142;4.479.106.448;N;NULL
2024S000018;01/01/2024;7:40:00;CALL. SANCHEZ PRECIADO, 41;41;9;MONCLOA-ARAVACA;Colisión múltiple;Nublado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;439.703.142;4.479.106.448;N;NULL
2024S000018;01/01/2024;7:40:00;CALL. SANCHEZ PRECIADO, 41;41;9;MONCLOA-ARAVACA;Colisión múltiple;Nublado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;439.703.142;4.479.106.448;N;NULL
2024S000018;01/01/2024;7:40:00;CALL. SANCHEZ PRECIADO, 41;41;9;MONCLOA-ARAVACA;Colisión múltiple;Nublado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;439.703.142;4.479.106.448;N;NULL
2024S000022;01/01/2024;12:25:00;CALL. SERRANO, 203;203;5;CHAMARTÍN;Otro;Despejado;Motocicleta > 125cc;Conductor;De 30 a 34 años;Hombre;NULL;NULL;442.267.627;4.478.258.082;N;NULL
2024S000022;01/01/2024;12:25:00;CALL. SERRANO, 203;203;5;CHAMARTÍN;Otro;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;NULL;NULL;442.267.627;4.478.258.082;N;NULL
2024S000025;01/01/2024;15:45:00;CALL. GENERAL RICARDOS / CALL. PARRA;159;11;CARABANCHEL;Alcance;Despejado;Autobús;Conductor;De 50 a 54 años;Hombre;14;Sin asistencia sanitaria;437.822.093;4.471.072.507;N;NULL
2024S000025;01/01/2024;15:45:00;CALL. GENERAL RICARDOS / CALL. PARRA;159;11;CARABANCHEL;Alcance;Despejado;Motocicleta hasta 125cc;Conductor;De 35 a 39 años;Mujer;14;Sin asistencia sanitaria;437.822.093;4.471.072.507;N;NULL
2024S000027;01/01/2024;16:30:00;CALL. ALEJANDRO MORAN / CALL. GENERAL RICARDOS;2;11;CARABANCHEL;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;437.731.537;4.470.986.332;N;NULL
2024S000027;01/01/2024;16:30:00;CALL. ALEJANDRO MORAN / CALL. GENERAL RICARDOS;2;11;CARABANCHEL;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;437.731.537;4.470.986.332;N;NULL
2024S000028;01/01/2024;16:30:00;CALL. AURORA IGLESIAS, 11;11;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;NULL;NULL;443.496.334;4.472.304.961;S;NULL
2024S000029;01/01/2024;16:35:00;CMNO. VIEJO DE VICALVARO / AUTOV. M-40;7;19;VICÁLVARO;Alcance;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;447.084.032;4.472.971.824;N;NULL
2024S000029;01/01/2024;16:35:00;CMNO. VIEJO DE VICALVARO / AUTOV. M-40;7;19;VICÁLVARO;Alcance;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;447.084.032;4.472.971.824;N;NULL
2024S000032;01/01/2024;18:20:00;PASEO. DELICIAS / CALL. VIZCAYA;28;2;ARGANZUELA;Colisión fronto-lateral;Se desconoce;Turismo;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;441.147.383;4.472.906.803;N;NULL
2024S000032;01/01/2024;18:20:00;PASEO. DELICIAS / CALL. VIZCAYA;28;2;ARGANZUELA;Colisión fronto-lateral;Se desconoce;Turismo;Conductor;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;441.147.383;4.472.906.803;N;NULL
2024S000032;01/01/2024;18:20:00;PASEO. DELICIAS / CALL. VIZCAYA;28;2;ARGANZUELA;Colisión fronto-lateral;Se desconoce;Turismo;Pasajero;De 15 a 17 años;Mujer;14;Sin asistencia sanitaria;441.147.383;4.472.906.803;N;NULL
2024S000032;01/01/2024;18:20:00;PASEO. DELICIAS / CALL. VIZCAYA;28;2;ARGANZUELA;Colisión fronto-lateral;Se desconoce;Turismo;Pasajero;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;441.147.383;4.472.906.803;N;NULL
2024S000032;01/01/2024;18:20:00;PASEO. DELICIAS / CALL. VIZCAYA;28;2;ARGANZUELA;Colisión fronto-lateral;Se desconoce;Turismo;Pasajero;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;441.147.383;4.472.906.803;N;NULL
2024S000032;01/01/2024;18:20:00;PASEO. DELICIAS / CALL. VIZCAYA;28;2;ARGANZUELA;Colisión fronto-lateral;Se desconoce;Turismo;Pasajero;De 55 a 59 años;Mujer;14;Sin asistencia sanitaria;441.147.383;4.472.906.803;N;NULL
2024S000033;01/01/2024;15:15:00;CALL. ALMERIA, 8;8;4;SALAMANCA;Otro;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;NULL;NULL;443.832.086;4.475.666.662;N;NULL
2024S000033;01/01/2024;15:15:00;CALL. ALMERIA, 8;8;4;SALAMANCA;Otro;Despejado;Turismo;Conductor;De 45 a 49 años;Hombre;NULL;NULL;443.832.086;4.475.666.662;N;NULL
2024S000034;01/01/2024;19:30:00;CALL. ISAAC PERAL, 32;32;7;CHAMBERÍ;Colisión fronto-lateral;NULL;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;439.124.541;4.476.636.545;N;NULL
2024S000034;01/01/2024;19:30:00;CALL. ISAAC PERAL, 32;32;7;CHAMBERÍ;Colisión fronto-lateral;NULL;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;439.124.541;4.476.636.545;N;NULL
2024S000034;01/01/2024;19:30:00;CALL. ISAAC PERAL, 32;32;7;CHAMBERÍ;Colisión fronto-lateral;NULL;Turismo;Conductor;Más de 74 años;Mujer;NULL;NULL;439.124.541;4.476.636.545;N;NULL
2024S000035;01/01/2024;19:22:00;CALL. CONDESA VEGA DEL POZO / CALL. LAGO SANABRIA;2;19;VICÁLVARO;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;448.374.924;4.472.779.044;S;NULL
2024S000035;01/01/2024;19:22:00;CALL. CONDESA VEGA DEL POZO / CALL. LAGO SANABRIA;2;19;VICÁLVARO;Colisión fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;448.374.924;4.472.779.044;N;NULL
2024S000035;01/01/2024;19:22:00;CALL. CONDESA VEGA DEL POZO / CALL. LAGO SANABRIA;2;19;VICÁLVARO;Colisión fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;448.374.924;4.472.779.044;N;NULL
2024S000035;01/01/2024;19:22:00;CALL. CONDESA VEGA DEL POZO / CALL. LAGO SANABRIA;2;19;VICÁLVARO;Colisión fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;448.374.924;4.472.779.044;N;NULL
2024S000035;01/01/2024;19:22:00;CALL. CONDESA VEGA DEL POZO / CALL. LAGO SANABRIA;2;19;VICÁLVARO;Colisión fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;448.374.924;4.472.779.044;N;NULL
2024S000035;01/01/2024;19:22:00;CALL. CONDESA VEGA DEL POZO / CALL. LAGO SANABRIA;2;19;VICÁLVARO;Colisión fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;448.374.924;4.472.779.044;N;NULL
2024S000037;01/01/2024;20:00:00;CALL. LA CABRERA / CALL. CANDIDO MATEOS;2;8;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 65 a 69 años;Hombre;14;Sin asistencia sanitaria;439.122.081;4.480.402.894;N;NULL
2024S000037;01/01/2024;20:00:00;CALL. LA CABRERA / CALL. CANDIDO MATEOS;2;8;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 65 a 69 años;Mujer;14;Sin asistencia sanitaria;439.122.081;4.480.402.894;N;NULL
